Ticker,Metric,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018,3/31/2019,6/30/2019,9/30/2019,12/31/2019,3/31/2020,6/30/2020,9/30/2020,12/31/2020,3/31/2021,6/30/2021,9/30/2021,12/31/2021,3/31/2022,6/30/2022,9/30/2022,12/31/2022,3/31/2023,6/30/2023,9/30/2023,12/31/2023,3/31/2024,6/30/2024
BRK,Working Capital/Total Assets,0.137918903,0.009693528,0.010923232,0.009511099,0.149932006,0.00584157,0.027271531,0.043484019,0.160675457,0.053666355,0.055887258,0.064493789,0.174041974,0.098986552,0.098551547,0.084221932,0.172232316,0.10167126,0.105782336,0.108524989,0.171016315,0.128775406,0.122698834,0.097249701,0.169846714,0.085796699,0.081396789,0.087157538,0.169855776,0.03485899,0.053480755,0.063114543,0.162233714,0.067607956,0.073899765,0.09075302,0.161844449,0.112058017,0.181205923
BRK,RetainedEarnings/TotalAssets,0.311143312,0.317815153,0.319536442,0.334070926,0.339883424,0.329672616,0.334493334,0.340195484,0.339606413,0.329798564,0.330682552,0.328904239,0.364318219,0.449657084,0.460666187,0.470498697,0.453680026,0.464006855,0.469467497,0.473484493,0.492208299,0.463357126,0.48044429,0.492551323,0.508883189,0.515988933,0.53088736,0.537356178,0.557394575,0.556861948,0.545277295,0.54686932,0.538899169,0.548236236,0.559291571,0.558640617,0.567628493,0.579350208,0.586433815
BRK,EBIT/TotalAssets,0.01247844,0.015860254,0.012419236,0.027191329,0.014866267,0.012430178,0.013140671,0.018608101,0.015322443,0.009733349,0.010787422,0.009478339,0.007406405,-0.001350599,0.022091998,0.032291003,-0.040321054,0.038539427,0.024505728,0.026417851,0.046042148,-0.081958267,0.060017789,0.046587368,0.05273832,0.017330531,0.040164692,0.01429583,0.051974167,0.007892679,-0.059816895,-0.003968764,0.023557011,0.045414975,0.044330066,-0.015649067,0.044582225,0.015447158,0.035274967
BRK,BookValueofEquity/TotalLiabilities,0.859238439,0.855371598,0.854684263,0.85440613,0.880792153,0.806948391,0.815346738,0.822559086,0.850941787,0.827202649,0.841204768,0.843522621,1.005177914,0.99844425,1.033080697,1.062679252,0.99213609,1.017638399,1.033913362,1.037821381,1.101234435,0.974097447,1.016304237,1.020655855,1.068521495,1.065291663,1.104006751,1.094140551,1.160133738,1.141887279,1.066891258,1.057457662,1.031914119,1.073725281,1.126475056,1.102061805,1.143351068,1.173763332,1.213783892
MMC,Working Capital/Total Assets,0.104310684,0.143994297,0.120082697,0.119724667,0.073342117,0.090412621,0.078889135,0.075389476,0.044090159,0.073435605,0.078849913,0.071152869,0.063635029,0.100472426,0.092584716,0.058639784,0.046806933,0.230148986,0.035620874,0.027398141,0.012405523,0.028352075,0.067425161,0.054527095,0.048382704,0.044185542,0.053318363,0.036929234,0.046818658,0.035650677,0.034479665,0.008806171,0.025547445,0.034897258,0.021238672,0.034875,0.040662086,0.055473808,0.064991459
MMC,RetainedEarnings/TotalAssets,0.5808464,0.624628728,0.61838856,0.616565109,0.620443566,0.632171227,0.650088515,0.651105785,0.681033535,0.664557963,0.66428351,0.665972575,0.643203289,0.64605454,0.667848197,0.671872781,0.664890166,0.485847961,0.458992403,0.476283886,0.484708359,0.493453538,0.499238397,0.486582418,0.492359829,0.519939268,0.534002974,0.533290886,0.534750494,0.561505581,0.594497608,0.619461012,0.460194043,0.609726992,0.472018211,0.458479167,0.473849677,0.493063146,0.505813834
MMC,EBIT/TotalAssets,0.030124206,0.043661637,0.036122437,0.02600993,0.032608696,0.040434687,0.040163753,0.031158078,0.03479934,0.042648532,0.039296369,0.030319959,0.035360272,0.045558726,0.035729477,0.028586303,0.029752526,0.033248167,0.023352846,0.017236389,0.039098128,0.036125004,0.029469365,0.018359291,0.029683198,0.044278499,0.03941978,0.024528531,0.035332093,0.04473403,0.042553828,0.026480967,0.027043569,0.05093428,0.032792166,0.022145833,0.029085988,0.042377869,0.035582721
MMC,BookValueofEquity/TotalLiabilities,0.669136961,0.688296059,0.651930557,0.557332396,0.568451868,0.596196179,0.589657902,0.582040676,0.526262796,0.535951417,0.571959897,0.567799984,0.573034573,0.600464141,0.583520431,0.554631742,0.541946549,0.360525484,0.350603474,0.334635193,0.339241479,0.311236424,0.352946124,0.365748673,0.389255538,0.42316003,0.452377804,0.428163159,0.484416818,0.495118054,0.484704524,0.440401223,0.322163944,0.483377947,0.352601156,0.318174329,0.346887269,0.361144492,0.387283732
PGR,Working Capital/Total Assets,0.078257329,0.092455638,0.100600601,0.099478871,0.083812334,0.101051364,0.097743914,0.099170162,0.083947589,0.096119043,0.093723085,0.099321912,0.085928012,0.102571919,0.096326446,0.098869225,0.064901771,0.094898669,0.088258904,0.088116575,0.070219082,0.090951746,0.072189678,0.09304829,0.042165122,0.085213948,0.080208811,0.092972817,0.090332059,0.08779927,0.096851773,0.100540226,0.096404956,0.108295298,0.103247935,0.094683198,0.08581254,0.099329636,0.105113747
PGR,RetainedEarnings/TotalAssets,0.160268342,0.162531156,0.160217035,0.164055453,0.157181663,0.158778725,0.157425371,0.154159603,0.153763312,0.159231277,0.161052058,0.157116071,0.155861606,0.193994822,0.20108846,0.210829088,0.180075148,0.191566018,0.200218221,0.203580951,0.194496549,0.200231049,0.218866781,0.229412794,0.208352835,0.224420222,0.220568859,0.211930926,0.215655401,0.210604626,0.20488112,0.198453472,0.208321739,0.199982589,0.197118573,0.202923424,0.211983178,0.223323559,0.228923416
